ride_date,city,total_rides,completed_rides,cancelled_rides,total_revenue,avg_distance_km,avg_fare
2023-03-24,Mumbai,9,6,0,545.25,4.38,60.58
2025-05-14,Hyderabad,6,5,0,634.68,7.56,105.78
2023-09-15,Delhi,11,3,0,114.22,0.96,10.38
2025-05-31,Delhi,12,10,0,835.05,6.87,69.59
2024-06-02,Chennai,10,10,0,1555.96,9.59,155.6
2024-06-26,Chennai,13,10,0,1300.83,6.09,100.06
2023-12-13,Delhi,11,8,0,648.6,5.57,58.96
2024-06-05,Bangalore,12,10,0,1630.39,7.5,135.87
2024-01-26,Bangalore,6,6,0,882.85,7.86,147.14
2023-03-03,Mumbai,4,1,0,125.25,2.09,31.31
2025-01-25,Hyderabad,7,5,0,590.84,6.85,84.41
2024-02-11,Delhi,12,7,0,689.02,5.45,57.42
2024-09-22,Chennai,9,8,0,1113.77,7.13,123.75
2024-02-08,Chennai,9,9,0,1026.18,6.7,114.02
2024-04-10,Bangalore,13,13,0,2096.45,8.63,161.27
2025-05-17,Hyderabad,9,6,0,615.68,5.07,68.41
2024-03-14,Mumbai,14,12,0,1216.23,6.54,86.87
2023-03-04,Bangalore,9,9,0,1254.09,7.07,139.34
2025-10-06,Bangalore,7,6,0,1067.75,8.61,152.54
2024-10-27,Hyderabad,10,6,0,686.71,4.92,68.67
2025-05-28,Mumbai,10,5,0,428.31,3.16,42.83
2023-10-22,Chennai,7,7,0,865.33,8.16,123.62
2023-11-09,Chennai,7,7,0,1028.12,8.78,146.87
2023-07-17,Chennai,4,3,0,410.66,5.94,102.67
2025-10-13,Hyderabad,11,7,0,628.71,4.69,57.16
2025-07-27,Delhi,10,8,0,712.11,6.51,71.21
2023-01-06,Mumbai,8,7,0,792.63,7.55,99.08
2025-11-17,Hyderabad,4,3,0,248.83,4.86,62.21
2023-05-03,Bangalore,11,10,0,1723.9,7.98,156.72
2023-02-25,Delhi,7,4,0,337.77,4.01,48.25
2024-06-12,Delhi,7,4,0,320.6,4.58,45.8
2023-12-17,Bangalore,9,9,0,1297.79,7.86,144.2
2024-07-02,Hyderabad,8,7,0,868.91,8.41,108.61
2023-04-07,Hyderabad,7,7,0,584.49,6.66,83.5
2023-10-26,Delhi,10,7,0,566.5,5.67,56.65
2025-11-26,Bangalore,10,10,0,1208.57,6.33,120.86
2024-01-16,Bangalore,10,9,0,1181.94,6.55,118.19
2025-05-09,Chennai,14,12,0,1201.24,5.36,85.8
2025-03-05,Bangalore,10,9,0,1125.19,6.61,112.52
2025-07-01,Delhi,10,9,0,741.8,7.42,74.18
2025-02-28,Delhi,12,6,0,445.95,3.4,37.16
2023-03-28,Delhi,8,6,0,386.0,4.83,48.25
2023-07-11,Mumbai,9,5,0,614.1,4.82,68.23
2025-05-10,Delhi,9,5,0,405.71,4.29,45.08
2026-01-11,Chennai,15,15,0,2237.6,9.0,149.17
2023-06-22,Chennai,7,6,0,588.4,5.11,84.06
2023-06-15,Bangalore,6,4,0,338.75,3.52,56.46
2023-03-05,Chennai,11,9,0,1006.3,5.53,91.48
2025-04-27,Mumbai,12,9,0,910.98,5.43,75.92
2025-12-27,Bangalore,8,7,0,969.94,6.55,121.24
2025-02-22,Bangalore,13,11,0,1934.84,8.48,148.83
2024-04-28,Hyderabad,10,9,0,680.33,5.47,68.03
2024-04-16,Mumbai,7,7,0,658.32,6.74,94.05
2023-07-22,Mumbai,5,1,0,47.4,0.63,9.48
2024-01-05,Delhi,8,6,0,360.74,4.33,45.09
2024-08-09,Bangalore,15,12,0,1797.47,6.29,119.83
2024-05-29,Delhi,8,4,0,361.21,3.94,45.15
2025-12-08,Delhi,9,5,0,333.4,3.7,37.04
2024-03-01,Hyderabad,8,6,0,538.18,5.36,67.27
2025-10-20,Hyderabad,8,6,0,585.92,5.56,73.24
2023-09-22,Bangalore,9,9,0,1523.28,8.93,169.25
2023-01-21,Delhi,14,7,0,471.63,3.27,33.69
2023-07-13,Chennai,9,7,0,973.23,6.68,108.14
2025-01-02,Delhi,8,7,0,795.96,8.63,99.5
2024-07-07,Delhi,13,11,0,1020.5,7.85,78.5
2025-12-25,Bangalore,7,6,0,1080.13,8.51,154.3
2025-08-28,Chennai,6,6,0,854.48,8.82,142.41
2025-10-21,Hyderabad,15,7,0,615.79,3.07,41.05
2023-11-30,Hyderabad,7,3,0,393.25,4.21,56.18
2025-06-09,Delhi,10,6,0,421.17,3.94,42.12
2024-02-14,Mumbai,13,6,0,792.18,4.67,60.94
2024-05-31,Delhi,10,7,0,551.9,5.52,55.19
2025-08-10,Delhi,8,7,0,611.58,7.32,76.45
2025-04-03,Chennai,5,5,0,618.83,7.35,123.77
2025-01-11,Mumbai,9,7,0,804.3,6.4,89.37
2023-10-15,Bangalore,12,12,0,1721.52,7.59,143.46
2025-08-30,Chennai,6,6,0,729.9,7.81,121.65
2023-03-26,Chennai,12,11,0,1844.88,9.02,153.74
2024-12-26,Bangalore,9,8,0,1341.35,7.9,149.04
2024-10-14,Bangalore,9,9,0,1801.07,10.69,200.12
2023-08-06,Delhi,7,6,0,421.5,6.02,60.21
2023-05-01,Chennai,7,5,0,537.75,4.99,76.82
2025-01-01,Delhi,12,7,0,509.07,4.03,42.42
2025-02-03,Chennai,12,11,0,1390.83,7.16,115.9
2025-09-18,Mumbai,12,6,0,606.12,3.57,50.51
2025-06-23,Bangalore,8,7,0,1394.8,8.72,174.35
2023-06-16,Bangalore,7,6,0,624.81,4.79,89.26
2024-10-08,Mumbai,11,9,0,924.93,5.65,84.08
2024-02-22,Mumbai,7,5,0,608.55,6.02,86.94
2024-08-29,Mumbai,10,8,0,919.62,6.44,91.96
2023-02-08,Hyderabad,8,7,0,785.3,7.55,98.16
2023-04-25,Hyderabad,9,8,0,848.32,6.81,94.26
2023-12-06,Delhi,12,9,0,650.27,5.36,54.19
2023-05-16,Hyderabad,9,8,0,800.39,6.91,88.93
2024-04-21,Chennai,17,17,0,2176.19,7.7,128.01
2024-05-16,Hyderabad,6,5,0,564.5,7.07,94.08
2023-09-11,Delhi,13,7,0,507.35,3.72,39.03
2023-03-19,Mumbai,11,6,0,640.74,4.24,58.25
2024-06-13,Bangalore,10,10,0,1243.36,6.76,124.34
2023-01-15,Mumbai,6,4,0,352.2,4.13,58.7
2025-09-21,Hyderabad,14,12,0,1375.2,7.33,98.23
2025-10-01,Delhi,9,6,0,464.22,4.97,51.58
2023-06-30,Bangalore,8,7,0,1022.73,6.74,127.84
2023-07-15,Mumbai,12,11,0,1256.46,7.52,104.71
2023-11-24,Bangalore,7,7,0,817.64,6.13,116.81
2025-11-21,Chennai,9,8,0,1044.86,7.06,116.1
2025-11-18,Chennai,14,12,0,1555.42,6.59,111.1
2025-12-13,Chennai,9,8,0,1214.73,7.6,134.97
2023-09-29,Mumbai,9,6,0,560.16,5.19,62.24
2025-09-13,Mumbai,6,4,0,491.94,6.22,81.99
2023-06-23,Hyderabad,8,4,0,410.0,3.94,51.25
2024-07-05,Chennai,10,8,0,1099.78,6.15,109.98
2024-09-04,Delhi,7,4,0,262.1,3.38,37.44
2025-09-15,Bangalore,7,7,0,827.99,6.54,118.28
2025-09-01,Bangalore,8,8,0,1534.72,10.29,191.84
2024-08-03,Mumbai,7,5,0,357.39,3.77,51.06
2024-03-24,Bangalore,10,10,0,1201.16,6.79,120.12
2024-11-26,Delhi,11,6,0,487.45,4.37,44.31
2025-03-21,Bangalore,14,12,0,1855.32,7.32,132.52
2025-12-09,Chennai,7,6,0,888.55,7.24,126.94
2023-03-14,Bangalore,8,5,0,834.28,5.7,104.29
2023-07-02,Bangalore,4,4,0,764.03,9.99,191.01
2024-01-18,Bangalore,10,9,0,1639.4,8.2,163.94
2025-07-26,Mumbai,8,5,0,642.48,5.61,80.31
2023-09-03,Delhi,11,9,0,546.35,4.77,49.67
2024-09-27,Bangalore,9,9,0,1194.6,7.44,132.73
2023-12-13,Chennai,4,1,0,85.54,1.65,21.39
2025-09-25,Delhi,6,2,0,166.98,2.41,27.83
2023-09-06,Delhi,13,10,0,944.63,7.03,72.66
2025-08-23,Hyderabad,7,7,0,799.74,8.48,114.25
2023-02-17,Hyderabad,7,5,0,476.25,5.37,68.04
2025-01-06,Bangalore,10,10,0,1612.87,8.51,161.29
2024-02-25,Mumbai,10,8,0,955.65,7.13,95.57
2024-12-19,Mumbai,3,1,0,124.8,3.47,41.6
2025-05-30,Chennai,8,8,0,979.99,8.4,122.5
2025-11-15,Hyderabad,7,4,0,517.27,5.17,73.9
2023-03-28,Bangalore,3,3,0,393.68,7.23,131.23
2023-09-21,Hyderabad,5,5,0,542.23,9.43,108.45
2025-05-02,Chennai,9,8,0,754.23,5.69,83.8
2024-08-22,Chennai,16,14,0,2052.8,8.02,128.3
2024-06-25,Hyderabad,15,10,0,1064.45,5.44,70.96
2023-10-01,Bangalore,14,13,0,2133.76,8.04,152.41
2024-03-09,Bangalore,7,6,0,774.69,5.81,110.67
2025-04-02,Chennai,10,10,0,1077.83,6.77,107.78
2024-06-21,Bangalore,10,10,0,1949.07,10.66,194.91
2024-09-26,Mumbai,16,11,0,1257.75,5.44,78.61
2024-08-11,Mumbai,10,7,0,804.96,5.82,80.5
2025-12-24,Bangalore,7,7,0,1493.55,11.42,213.36
2026-01-06,Mumbai,5,2,0,185.25,2.71,37.05
2024-11-22,Hyderabad,7,6,0,649.12,7.2,92.73
2024-04-07,Mumbai,6,4,0,545.43,6.76,90.91
2024-09-12,Bangalore,5,4,0,480.88,5.89,96.18
2023-04-14,Bangalore,2,2,0,327.14,8.69,163.57
2024-05-23,Hyderabad,11,9,0,1002.9,6.89,91.17
2023-01-24,Bangalore,12,11,0,1706.86,7.82,142.24
2026-01-17,Mumbai,7,4,0,477.78,4.82,68.25
2025-04-21,Bangalore,10,10,0,1712.84,9.28,171.28
2024-02-17,Delhi,7,5,0,365.5,5.22,52.21
2024-03-25,Hyderabad,4,4,0,435.59,9.15,108.9
2024-12-16,Bangalore,13,11,0,1653.27,7.03,127.17
2023-06-26,Mumbai,8,6,0,755.52,7.37,94.44
2024-04-13,Mumbai,7,5,0,422.82,4.22,60.4
2024-10-22,Hyderabad,10,9,0,822.79,6.37,82.28
2024-09-18,Bangalore,7,5,0,820.78,6.38,117.25
2024-02-11,Bangalore,8,8,0,1048.24,6.92,131.03
2025-11-04,Delhi,8,6,0,636.84,7.49,79.61
2024-12-08,Mumbai,14,9,0,685.98,3.71,49.0
2024-12-26,Hyderabad,8,6,0,672.66,6.41,84.08
2023-12-26,Bangalore,6,6,0,628.73,5.74,104.79
2023-10-18,Chennai,15,13,0,1980.58,7.71,132.04
2023-06-17,Mumbai,7,5,0,521.88,6.21,74.55
2023-02-27,Bangalore,9,9,0,1354.03,8.12,150.45
2025-12-04,Mumbai,6,5,0,599.22,7.83,99.87
2025-08-03,Hyderabad,11,8,0,963.27,6.48,87.57
2025-05-14,Bangalore,9,8,0,1099.88,6.4,122.21
2024-08-07,Chennai,13,11,0,1252.86,5.94,96.37
2025-05-17,Delhi,13,11,0,943.38,7.08,72.57
2025-02-16,Bangalore,7,7,0,891.37,6.83,127.34
2024-06-28,Delhi,10,7,0,608.49,5.27,60.85
2024-07-01,Hyderabad,7,4,0,508.64,5.4,72.66
2025-05-10,Chennai,9,9,0,1026.18,7.2,114.02
2025-02-19,Bangalore,13,12,0,1800.17,7.15,138.47
2025-06-28,Hyderabad,11,9,0,685.18,5.02,62.29
2023-10-12,Mumbai,7,7,0,672.0,7.2,96.0
2023-10-27,Delhi,13,8,0,479.04,3.54,36.85
2023-05-08,Chennai,7,7,0,830.74,7.78,118.68
2024-06-19,Delhi,7,5,0,561.12,7.59,80.16
2024-10-28,Bangalore,8,8,0,886.25,6.13,110.78
2024-01-10,Delhi,6,5,0,480.43,7.47,80.07
2023-03-30,Hyderabad,14,8,0,928.99,4.96,66.36
2025-08-25,Bangalore,13,13,0,1928.59,8.2,148.35
2023-01-05,Mumbai,8,5,0,477.15,4.31,59.64
2023-08-10,Delhi,10,7,0,556.2,5.56,55.62
2024-09-30,Mumbai,5,2,0,150.96,2.52,30.19
2025-09-30,Mumbai,8,5,0,591.36,5.43,73.92
2023-04-25,Bangalore,8,7,0,1053.8,6.59,131.73
2024-04-22,Delhi,10,6,0,553.75,5.28,55.38
2024-06-16,Hyderabad,5,2,0,211.6,3.68,42.32
2023-04-07,Mumbai,11,7,0,792.27,5.22,72.02
2024-11-17,Delhi,15,8,0,751.34,4.56,50.09
2023-03-13,Chennai,8,7,0,824.53,6.55,103.07
2024-09-06,Bangalore,9,9,0,1643.08,9.94,182.56
2023-05-28,Mumbai,13,10,0,983.94,5.43,75.69
2025-01-18,Mumbai,7,4,0,639.27,6.45,91.32
2023-06-13,Bangalore,8,8,0,1475.08,10.11,184.39
2023-02-15,Bangalore,6,6,0,750.75,6.7,125.13
2023-07-12,Hyderabad,11,7,0,595.51,4.47,54.14
2024-02-21,Hyderabad,6,5,0,476.78,6.91,79.46
2023-01-23,Chennai,11,10,0,1166.16,6.69,106.01
2024-09-14,Mumbai,9,8,0,825.66,6.5,91.74
2023-02-17,Bangalore,8,8,0,1019.66,6.77,127.46
2023-10-08,Chennai,6,6,0,977.52,8.93,162.92
2024-11-13,Hyderabad,14,12,0,903.94,5.06,64.57
2025-07-17,Chennai,3,3,0,340.33,7.73,113.44
2025-05-24,Mumbai,6,4,0,393.3,4.59,65.55
2025-08-28,Mumbai,8,5,0,446.49,3.97,55.81
2024-11-20,Bangalore,12,11,0,2054.34,9.38,171.2
2025-08-04,Mumbai,7,4,0,329.91,3.63,47.13
2025-11-06,Chennai,10,9,0,1376.41,8.37,137.64
2023-07-31,Chennai,7,5,0,595.84,4.94,85.12
2023-12-05,Mumbai,15,7,0,1016.19,5.04,67.75
2023-02-12,Mumbai,6,3,0,320.85,3.99,53.48
2023-05-23,Chennai,11,9,0,868.98,5.36,79.0
2024-08-30,Chennai,14,14,0,1493.47,7.06,106.68
2024-12-03,Delhi,9,8,0,745.4,8.28,82.82
2024-02-19,Bangalore,5,4,0,655.4,6.55,131.08
2025-12-10,Hyderabad,8,6,0,510.93,5.09,63.87
2024-03-07,Bangalore,8,7,0,772.95,5.19,96.62
2023-03-12,Hyderabad,9,6,0,528.14,4.88,58.68
2023-08-12,Delhi,9,3,0,278.1,3.09,30.9
2024-09-11,Hyderabad,10,10,0,907.1,7.49,90.71
2025-09-24,Chennai,10,8,0,954.53,5.68,95.45
2023-06-29,Mumbai,12,8,0,707.07,4.63,58.92
2024-10-02,Bangalore,8,8,0,1142.73,7.32,142.84
2025-02-05,Bangalore,9,9,0,1737.63,10.57,193.07
2023-11-07,Chennai,7,7,0,604.38,5.48,86.34
2023-03-21,Delhi,6,4,0,289.13,4.08,48.19
2023-05-20,Delhi,5,4,0,251.4,4.84,50.28
2024-02-26,Mumbai,10,7,0,873.12,6.27,87.31
2023-04-13,Hyderabad,12,11,0,1098.67,7.54,91.56
2023-05-05,Hyderabad,9,8,0,817.37,7.37,90.82
2024-04-24,Delhi,6,3,0,241.6,3.76,40.27
2023-12-01,Bangalore,7,7,0,1161.35,8.8,165.91
2025-09-09,Mumbai,10,4,0,377.7,2.89,37.77
2023-05-26,Hyderabad,8,4,0,469.79,4.17,58.72
2024-01-10,Chennai,10,10,0,1406.26,9.08,140.63
2025-11-12,Hyderabad,12,9,0,948.9,6.09,79.08
2025-06-05,Bangalore,7,7,0,891.77,7.15,127.4
2024-01-28,Chennai,13,12,0,1805.73,8.49,138.9
2023-08-03,Chennai,8,8,0,1176.87,9.22,147.11
2024-10-22,Mumbai,4,4,0,532.77,10.27,133.19
2023-06-08,Chennai,14,12,0,1604.43,7.04,114.6
2024-05-27,Mumbai,12,7,0,877.98,5.43,73.17
2025-02-07,Chennai,14,11,0,1759.9,7.64,125.71
2023-10-06,Delhi,8,5,0,350.43,4.28,43.8
2026-01-02,Mumbai,10,8,0,826.77,6.24,82.68
2024-08-09,Mumbai,4,2,0,251.55,4.19,62.89
2024-02-16,Chennai,11,10,0,1399.69,7.72,127.24
2025-05-19,Bangalore,12,12,0,1398.45,6.52,116.54
2025-11-01,Chennai,7,6,0,969.62,7.58,138.52
2024-06-21,Mumbai,7,4,0,579.93,5.8,82.85
2023-11-20,Chennai,10,10,0,1395.34,8.37,139.53
2023-02-10,Mumbai,10,7,0,734.88,5.12,73.49
2023-09-11,Hyderabad,13,13,0,1450.87,8.53,111.61
2026-01-15,Mumbai,13,9,0,828.48,4.66,63.73
2023-06-10,Bangalore,8,6,0,793.48,5.57,99.19
2023-11-29,Chennai,12,10,0,1463.94,7.74,122.0
2024-04-17,Bangalore,5,5,0,741.96,8.44,148.39
2023-09-07,Hyderabad,3,3,0,420.79,10.47,140.26
2024-09-17,Hyderabad,14,11,0,1006.57,5.6,71.9
2025-03-03,Delhi,7,5,0,418.42,5.43,59.77
2023-01-26,Hyderabad,14,13,0,1144.75,6.48,81.77
2025-01-04,Hyderabad,12,10,0,1203.44,7.55,100.29
2023-03-26,Mumbai,5,3,0,296.16,4.42,59.23
